epoch,loss,val_loss
1,0.043948978,0.032784671
2,0.028047251,0.023241714
3,0.021083066,0.018271605
4,0.017544854,0.015858639
5,0.015335168,0.014805703
6,0.013837415,0.013651989
7,0.012633061,0.012481086
8,0.011816246,0.011804294
9,0.011083895,0.011385825
10,0.010482829,0.01112021
11,0.009980235,0.010423504
12,0.009602536,0.010183735
13,0.009241033,0.010211184
14,0.008929698,0.009638925
15,0.008667858,0.009555011
16,0.008353912,0.00919919
17,0.008157256,0.008990888
18,0.007941064,0.009454932
19,0.007740633,0.008986961
20,0.007586281,0.009221477
21,0.007463103,0.00864489
22,0.007336046,0.008706485
23,0.007183,0.008397851
24,0.00707692,0.008368066
25,0.006960699,0.008558903
26,0.00690178,0.008266145
27,0.00680296,0.008124446
28,0.006738024,0.008281079
29,0.006648119,0.008453266
30,0.006586729,0.007944937
31,0.006535214,0.008319615
32,0.006456895,0.00789985
33,0.006421687,0.008251863
34,0.006350712,0.008654972
35,0.006289728,0.007949342
36,0.006237451,0.007957111
37,0.00619074,0.007957835
38,0.006152737,0.007895288
39,0.006127646,0.007817893
40,0.006077639,0.007916035
41,0.006079743,0.007888157
42,0.006062482,0.008358909
43,0.006006872,0.007820279
44,0.005981578,0.007876333
45,0.005963316,0.008328064
46,0.005932301,0.0078217
47,0.005896954,0.007744665
48,0.005873622,0.007859425
49,0.005835678,0.008016418
50,0.005852297,0.007788538
51,0.005791595,0.008382558
52,0.005776643,0.007905514
53,0.00572363,0.007756951
54,0.00575166,0.007831703
55,0.005719538,0.007807794
56,0.005713983,0.00785589
57,0.005698516,0.007698126
58,0.005676867,0.007663311
59,0.005646875,0.008399054
60,0.00566361,0.008112979
61,0.005665072,0.008421032
62,0.005644725,0.007958105
63,0.00563463,0.00808379
64,0.005627264,0.008360095
65,0.005595717,0.007699007
66,0.005606644,0.007747767
67,0.005613518,0.007645826
68,0.005595531,0.007879867
69,0.005611701,0.008154372
70,0.005619953,0.007882635
71,0.005580235,0.008065483
72,0.005571625,0.007797062
73,0.005617968,0.007821348
74,0.005614947,0.009281072
75,0.005604407,0.007858428
76,0.00557771,0.008290828
77,0.005589685,0.007950009
78,0.005590481,0.008118677
79,0.005592021,0.008173067
80,0.005593216,0.008336809
81,0.00556908,0.007986791
82,0.005601809,0.007920669
83,0.005589265,0.008437506
84,0.005575287,0.007969962
85,0.005605643,0.008032951
86,0.00559786,0.008226587
87,0.00559647,0.007928911
88,0.005593827,0.008060396
89,0.005636124,0.008238274
90,0.005617226,0.008388208
91,0.00563568,0.008166805
92,0.005601385,0.008437395
93,0.005622576,0.0081999
94,0.005610602,0.008728679
95,0.005615697,0.008047854
96,0.005618226,0.008214349
97,0.005628428,0.007882203
98,0.005643863,0.008077721
99,0.005644783,0.008233461
100,0.005664021,0.008149141
