epoch,train_error,val_error
1,0.02810691110789776,0.022849664092063904
2,0.023366618901491165,0.021439623087644577
3,0.021333089098334312,0.01949675753712654
4,0.019914895296096802,0.01910029910504818
5,0.01888350211083889,0.01794183999300003
6,0.01800096407532692,0.01801707036793232
7,0.017238762229681015,0.017818419262766838
8,0.016586128622293472,0.016993774101138115
9,0.01606309413909912,0.016580697149038315
10,0.015510713681578636,0.01661732792854309
11,0.015126722864806652,0.01618889719247818
12,0.014750857837498188,0.016825467348098755
13,0.014418716542422771,0.015893036499619484
14,0.014067230746150017,0.01703512854874134
15,0.013728892430663109,0.015767229720950127
16,0.01347650121897459,0.015924233943223953
17,0.013176197186112404,0.016230957582592964
18,0.012944036163389683,0.01583300530910492
19,0.012676278129220009,0.01577591523528099
20,0.012460947036743164,0.015849901363253593
21,0.011313610710203648,0.01474312599748373
22,0.010856078937649727,0.014734472148120403
23,0.010579247027635574,0.014674308709800243
24,0.010431132279336452,0.014621276408433914
25,0.010305140167474747,0.014685390517115593
26,0.010159028694033623,0.014610732905566692
27,0.01005976740270853,0.014677139930427074
28,0.009987280704081059,0.014785675331950188
29,0.009861660189926624,0.01455504260957241
30,0.009293917566537857,0.014374109916388988
31,0.009082509204745293,0.01440955139696598
32,0.008977766148746014,0.014501226134598255
33,0.008901725523173809,0.01438828743994236
34,0.008830945007503033,0.014424523338675499
35,0.008747512474656105,0.014457768760621548
36,0.008471229113638401,0.014362896792590618
37,0.008365688845515251,0.014380330219864845
38,0.008316347375512123,0.014324650168418884
39,0.008281265385448933,0.014327533543109894
40,0.008234395645558834,0.014312777668237686
41,0.008106215856969357,0.0143592469394207
42,0.008078680373728275,0.014299051836133003
43,0.008057602681219578,0.01429758034646511
44,0.008036728017032146,0.014299300499260426
45,0.008000906556844711,0.01431031059473753
46,0.007910147309303284,0.014288091100752354
47,0.00791972130537033,0.014301955699920654
48,0.007903159596025944,0.014283658936619759
49,0.007876936346292496,0.014292237348854542
50,0.00787593424320221,0.014272183179855347
51,0.007861743681132793,0.014314285479485989
52,0.007883090525865555,0.014324485324323177
53,0.007858453318476677,0.014304136857390404
54,0.007828404195606709,0.01433983352035284
55,0.007840109057724476,0.014306044206023216
56,0.007778697181493044,0.014324524439871311
57,0.007770492695271969,0.014334273524582386
58,0.0077627249993383884,0.014308596961200237
59,0.007767560891807079,0.014318506233394146
60,0.007759632542729378,0.0142989382147789
61,0.007741346023976803,0.014304740354418755
62,0.007753195706754923,0.014308535493910313
63,0.007734858896583319,0.014317592605948448
64,0.007733705919235945,0.014311131089925766
65,0.007728929631412029,0.014313929714262486
66,0.007712607271969318,0.014318074099719524
67,0.007708435412496328,0.014345550909638405
68,0.007688125129789114,0.014330188743770123
69,0.007728187832981348,0.014333638362586498
70,0.0077257947996258736,0.014339245855808258
71,0.007714184001088142,0.014358372427523136
72,0.007719916291534901,0.014338135719299316
73,0.0077137392945587635,0.01431814581155777
74,0.007721404079347849,0.014318974688649178
75,0.007697564549744129,0.01432170532643795
76,0.007714086677879095,0.014287406578660011
77,0.007703173439949751,0.014313006773591042
78,0.007706003729254007,0.014352967031300068
79,0.007706436328589916,0.014352087862789631
80,0.007702625822275877,0.014333710074424744
