epoch,loss,mean_squared_error,mean_absolute_error,val_loss,val_mean_squared_error,val_mean_absolute_error
1,0.043948978185653687,0.043948978185653687,0.1570349782705307,0.03278467059135437,0.03278467059135437,0.13157398998737335
2,0.02804725058376789,0.02804725058376789,0.121518075466156,0.023241713643074036,0.023241713643074036,0.1121935248374939
3,0.02108306623995304,0.02108306623995304,0.10481856763362885,0.01827160455286503,0.01827160455286503,0.09714454412460327
4,0.017544854432344437,0.017544854432344437,0.09572094678878784,0.015858639031648636,0.015858639031648636,0.09032560139894485
5,0.01533516775816679,0.01533516775816679,0.08958602696657181,0.014805703423917294,0.014805703423917294,0.08753715455532074
6,0.013837414793670177,0.013837414793670177,0.08503282070159912,0.01365198940038681,0.01365198940038681,0.08398782461881638
7,0.012633061036467552,0.012633061036467552,0.0812058076262474,0.01248108595609665,0.01248108595609665,0.07870680093765259
8,0.011816246435046196,0.011816246435046196,0.07849956303834915,0.011804293841123581,0.011804293841123581,0.07661483436822891
9,0.011083895340561867,0.011083895340561867,0.07596583664417267,0.011385825462639332,0.011385825462639332,0.07570155709981918
10,0.010482829064130783,0.010482829064130783,0.07377543300390244,0.011120210401713848,0.011120210401713848,0.07460339367389679
11,0.009980235248804092,0.009980235248804092,0.07206076383590698,0.010423503816127777,0.010423503816127777,0.07186439633369446
12,0.00960253644734621,0.00960253644734621,0.0705610141158104,0.010183734819293022,0.010183734819293022,0.07070046663284302
13,0.009241033345460892,0.009241033345460892,0.0691617876291275,0.010211183689534664,0.010211183689534664,0.07113732397556305
14,0.008929697796702385,0.008929697796702385,0.06793495267629623,0.009638925082981586,0.009638925082981586,0.06842334568500519
15,0.008667858317494392,0.008667858317494392,0.06691793352365494,0.009555011056363583,0.009555011056363583,0.06856341660022736
16,0.008353912271559238,0.008353912271559238,0.06570670008659363,0.009199189953505993,0.009199189953505993,0.06679078936576843
17,0.008157256059348583,0.008157256059348583,0.06485580652952194,0.008990888483822346,0.008990888483822346,0.06592393666505814
18,0.007941064424812794,0.007941064424812794,0.06397254765033722,0.009454932063817978,0.009454932063817978,0.0680379793047905
19,0.007740632630884647,0.007740632630884647,0.06314004957675934,0.008986961096525192,0.008986961096525192,0.06648758798837662
20,0.007586281280964613,0.007586281280964613,0.0624060295522213,0.009221476502716541,0.009221476502716541,0.06792709231376648
21,0.007463103160262108,0.007463103160262108,0.061925213783979416,0.008644890040159225,0.008644890040159225,0.06432068347930908
